Company_name,Description,Ratings,Highly_rated_for,Critically_rated_for,Total_reviews,Avg_salary,Interviews_taken,Total_jobs_available,Total_benefits
Genpact,IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | New York +107 more,3.9,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",26.2k,190.4k,1.9k,782,3.7k
Axis Bank,Banking | 50k-1 Lakh Employees | Public | 31 years old | Mumbai +1295 more,3.9,Job Security,,22k,97.9k,1.1k,301,2.2k
Teleperformance,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Paris +180 more,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,21.9k,84k,1.3k,390,2k
Concentrix Corporation,BPO | 50k-1 Lakh Employees | Public | 41 years old | Fremont +113 more,3.9,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",21.8k,105.4k,1.1k,127,3.3k
Jio,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Navi Mumbai +1170 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,20.6k,67.3k,1.2k,168,2.6k
Amazon,Internet | 1 Lakh+ Employees | Public | 30 years old | Seattle +438 more,4.1,"Company Culture, Salary & Benefits, Work Life Balance",,20.4k,125.2k,3.4k,702,4.2k
IBM,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Armonk +144 more,4.1,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,19.7k,221.5k,1.5k,4k,2.7k
Reliance Retail,Retail | 1 Lakh+ Employees | 18 years old | Navi Mumbai +990 more,3.9,"Skill Development / Learning, Job Security",Promotions / Appraisal,18.7k,58.9k,1.1k,281,2k
HDB Financial Services,NBFC | 1 Lakh+ Employees | 17 years old | Ahmedabad +941 more,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,18.1k,50.5k,590,85,1.5k
Larsen & Toubro Limited,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Mumbai +616 more,4.0,"Job Security, Skill Development / Learning",,16.6k,80.5k,1k,142,2.9k
Vodafone Idea,Telecom | 5k-10k Employees | Public | 6 years old | Mumbai +639 more,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,15.4k,60k,436,334,2k
BYJU'S,EdTech | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +305 more,3.1,"Job Security, Work Life Balance, Company Culture",,14.6k,57.9k,1.8k,885,1.9k
Kotak Mahindra Bank,Banking | 50k-1 Lakh Employees | Public | 21 years old | Mumbai +563 more,3.8,Job Security,Promotions / Appraisal,14.2k,78.2k,738,222,1.3k
Deloitte,Management Consulting | 1 Lakh+ Employees | 179 years old | London +146 more,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",,13.9k,176.3k,1.6k,296,2.5k
Reliance Industries,Oil & Gas | 1 Lakh+ Employees | Public | 47 years old | Navi Mumbai +671 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,13.7k,65.6k,932,40,1.9k
iEnergizer,BPO | 10k-50k Employees | 24 years old | Noida +27 more,4.6,"Company Culture, Skill Development / Learning, Job Security",,12.5k,18.2k,310,104,509
Bharti Airtel,Telecom | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +652 more,4.1,"Skill Development / Learning, Company Culture, Job Security",,12.2k,44.3k,575,348,1.6k
Tata Motors,Automobile | 10k-50k Employees | Public | 79 years old | Pune +425 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,10.5k,44.3k,704,50,1.7k
WNS,BPO | 10k-50k Employees | 28 years old | Mumbai +37 more,3.5,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",9.7k,54.4k,716,131,1.4k
Flipkart,Internet | 10k-50k Employees | Public | 17 years old | Bangalore +511 more,4.1,"Skill Development / Learning, Company Culture, Job Security",,9.3k,46.7k,972,364,1.5k
IndusInd Bank,Banking | 10k-50k Employees | Public | 30 years old | Gurgaon/Gurugram +680 more,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,9.2k,45.6k,416,414,800
Ernst & Young,Management Consulting | 50k-1 Lakh Employees | 22 years old | London +96 more,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",8.9k,124k,760,1.8k,1.3k
AU Small Finance Bank,Banking | 10k-50k Employees | Fortune India 500 | 28 years old | Jaipur +401 more,4.5,"Skill Development / Learning, Job Security, Company Culture",,8.8k,18.4k,303,160,488
Mahindra & Mahindra,Automobile | 1 Lakh+ Employees | Public | 79 years old | Mumbai +472 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,8.7k,37.7k,471,58,1.3k
Infosys BPM,BPO | 10k-50k Employees | 22 years old | Bangalore/Bengaluru +66 more,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",8.3k,58.2k,674,121,1.2k
DXC Technology,IT Services & Consulting | 10k-50k Employees | Public | 7 years old | Minato +81 more,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",8.3k,82.2k,566,88,1.2k
IDFC FIRST Bank,Banking | 10k-50k Employees | Public | 6 years old | Mumbai +575 more,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",,8.2k,40.7k,440,109,721
Conneqt Business Solutions,BPO | 10k-50k Employees | 22 years old | Mumbai +220 more,3.8,"Promotions / Appraisal, Salary & Benefits",,7.8k,25.4k,326,465,802
LTIMindtree,IT Services & Consulting | 50k-1 Lakh Employees | Public | 25 years old | Bangalore/Bengaluru +51 more,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,7.7k,95.3k,934,38,850
HDFC Life,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +552 more,4.1,"Skill Development / Learning, Job Security, Company Culture",,7.7k,29.1k,419,154,636
Bajaj Finserv,Financial Services | 50k-1 Lakh Employees | Public | 17 years old | Pune +871 more,4.0,"Salary & Benefits, Skill Development / Learning, Job Security",,7.5k,25.2k,337,57,749
Mphasis,IT Services & Consulting | 10k-50k Employees | Public | 26 years old | Bangalore/Bengaluru +49 more,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,7k,64.6k,485,209,880
PwC,Management Consulting | 10k-50k Employees | Conglomerate | 144 years old | London +91 more,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",6.9k,82.7k,790,1.2k,865
HSBC Group,Banking | 10k-50k Employees | Forbes Global 2000 | 22 years old | Pune +58 more,4.1,"Job Security, Work Life Balance, Company Culture",,6.8k,61.2k,362,24,1.2k
Startek,BPO | 10k-50k Employees | Public | 7 years old | Mumbai +72 more,3.2,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,6.8k,22.9k,326,42,706
Hinduja Global Solutions,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Bangalore/Bengaluru +100 more,4.0,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",6.7k,25.6k,178,52,1k
Samsung,Consumer Electronics & Appliances | 50k-1 Lakh Employees | Public | 86 years old | Seoul +500 more,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,6.7k,26.6k,415,286,563
Ericsson,Telecom | 10k-50k Employees | Forbes Global 2000 | 148 years old | Stockholm +150 more,4.3,"Company Culture, Work Life Balance, Job Security",,6.6k,44.8k,275,202,1k
Maruti Suzuki,Automobile | 10k-50k Employees | Public | 43 years old | New Delhi +375 more,4.3,"Job Security, Salary & Benefits, Skill Development / Learning",,6.6k,25.4k,448,25,1.1k
Shriram Finance,NBFC | 50k-1 Lakh Employees | Fortune India 500 | 45 years old | Mumbai +950 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",,6.5k,12.9k,231,6,47
Asian Paints,Chemicals | 5k-10k Employees | Public | 82 years old | Mumbai +428 more,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,6.4k,21.8k,471,50,904
Yes Bank,Banking | 10k-50k Employees | Public | 20 years old | Mumbai +436 more,3.9,"Salary & Benefits, Work Life Balance",,6.3k,40.8k,292,80,628
Cipla Pharmaceutical,Pharma | 10k-50k Employees | Public | 89 years old | Mumbai +234 more,4.1,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,6.2k,24.2k,356,67,894
Sutherland Global Services,IT Services & Consulting | 10k-50k Employees | 38 years old | Pittsford +55 more,3.7,"Promotions / Appraisal, Salary & Benefits",,6k,27.5k,369,234,940
Dr. Reddy's,Pharma | 10k-50k Employees | Public | 40 years old | Hyderabad/Secunderabad +162 more,4.2,"Skill Development / Learning, Company Culture, Work Life Balance",,6k,24.2k,276,256,883
Bandhan Bank,Banking | 50k-1 Lakh Employees | Public | 23 years old | Kolkata +754 more,3.8,Job Security,Promotions / Appraisal,5.9k,19.8k,374,23,532
UltraTech Cement,Building Material | 10k-50k Employees | Public | 41 years old | Mumbai +432 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,5.9k,21.3k,374,13,653
Paytm,FinTech | 10k-50k Employees | Public | 14 years old | Noida +311 more,3.5,"Job Security, Promotions / Appraisal, Company Culture",,5.9k,30.4k,428,326,582
EXL Service,Analytics & KPO | 10k-50k Employees | 25 years old | New York City +45 more,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",5.9k,37.4k,453,223,857
NTT DATA,IT Services & Consulting | 10k-50k Employees | 36 years old | Chiyoda City +57 more,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,5.8k,52.3k,426,116,776
ICICI Prudential Life Insurance,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +449 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,5.7k,22.3k,277,39,635
Jana Small Finance Bank,Banking | 10k-50k Employees | Public | 18 years old | Bangalore/Bengaluru +347 more,3.9,,,5.6k,15.3k,178,72,620
Bajaj Finance,NBFC | 10k-50k Employees | 37 years old | Pune +764 more,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,5.6k,19.1k,226,67,524
Lupin,Pharma | 1k-5k Employees | Public | 56 years old | Mumbai +164 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",,5.4k,22.6k,242,46,818
Indian Army,Defence & Aerospace | 1 Lakh+ Employees | Public | 129 years old | New Delhi +324 more,4.7,"Job Security, Company Culture, Work Satisfaction",,5.4k,9.7k,124,--,760
HCL Group,IT Services & Consulting | 1 Lakh+ Employees | 48 years old | Chennai +74 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",5.3k,68.7k,282,1,698
L&T Infotech,IT Services & Consulting | 10k-50k Employees | Public | 28 years old | Mumbai +84 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",5.3k,74.4k,403,124,886
TATA Steel,Iron & Steel | 1 Lakh+ Employees | Public | 117 years old | Mumbai +167 more,4.2,"Job Security, Skill Development / Learning, Work Life Balance",,5.2k,25.5k,530,46,674
Quess,BPO | 1k-5k Employees | Public | 17 years old | Bangalore +517 more,4.0,Work Life Balance,Promotions / Appraisal,5.2k,23.4k,278,263,460
Wells Fargo,Financial Services | 10k-50k Employees | Public | 172 years old | San Francisco +20 more,4.1,"Job Security, Work Life Balance, Company Culture",,5.2k,46.6k,325,27,903
Zydus Lifesciences,Pharma | 10k-50k Employees | Public | 72 years old | Ahmedabad +148 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,5.2k,18.1k,208,90,687
Amazon Development Centre India,Internet | 10k-50k Employees | Hyderabad / Secunderabad +79 more,4.2,"Company Culture, Work Life Balance, Salary & Benefits",,5.1k,25.1k,374,34,54
Delhivery,Logistics | 10k-50k Employees | Fortune India 500 | 13 years old | Delhi +618 more,4.0,Skill Development / Learning,Promotions / Appraisal,5.1k,16.8k,307,384,664
L&T Construction,Engineering & Construction | 5k-10k Employees | Public | 80 years old | Chennai +358 more,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",,5.1k,14.2k,466,--,824
JP Morgan Chase,Financial Services | 50k-1 Lakh Employees | Forbes Global 2000 | 24 years old | New York +31 more,4.1,"Job Security, Company Culture, Skill Development / Learning",,5k,72.8k,413,1.1k,904
Sun Pharmaceutical Industries,Pharma | 10k-50k Employees | Public | 41 years old | Mumbai +206 more,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",,4.9k,20.3k,258,100,638
Hindustan Unilever,FMCG | 10k-50k Employees | Public | 152 years old | London +422 more,4.3,"Skill Development / Learning, Job Security, Company Culture",,4.9k,21.1k,249,191,689
FIS,FinTech | 10k-50k Employees | 56 years old | Jacksonville +45 more,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,4.9k,39.3k,306,109,785
Udaan,Internet | 1k-5k Employees | Indian Unicorn | 8 years old | Bangalore +336 more,4.0,"Salary & Benefits, Skill Development / Learning",Job Security,4.8k,19.6k,288,294,787
ITC,FMCG | 10k-50k Employees | Public | 49 years old | Kolkata +294 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.8k,23.1k,397,63,721
IIFL Finance,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +657 more,4.0,Salary & Benefits,,4.8k,16.4k,202,145,438
Hexaware Technologies,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 34 years old | Mumbai +45 more,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,4.7k,45.3k,406,411,587
JSW Steel,Iron & Steel | 10k-50k Employees | Public | 42 years old | Mumbai +142 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.7k,24.7k,381,90,626
Ujjivan Small Finance Bank,Banking | 10k-50k Employees | Public | 7 years old | Bangalore/Bengaluru +437 more,4.1,"Company Culture, Job Security, Work Life Balance",,4.6k,12.5k,157,189,598
Muthoot Finance,NBFC | 10k-50k Employees | Public | 85 years old | Kochi/Cochin +628 more,3.6,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,4.5k,11.6k,180,489,336
Max Life Insurance,Insurance | 10k-50k Employees | 24 years old | Gurgaon/Gurugram +390 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,4.4k,16.9k,205,444,513
Aurobindo Pharma,Pharma | 10k-50k Employees | Public | 38 years old | Hyderabad/Secunderabad +91 more,4.0,"Job Security, Salary & Benefits",,4.4k,22.2k,182,8,492
KPMG India,Management Consulting | 10k-50k Employees | 37 years old | Bangalore / Bengaluru +76 more,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",4.4k,62.9k,505,579,781
Shapoorji Pallonji Group,Engineering & Construction | 5k-10k Employees | Conglomerate | 159 years old | Mumbai +164 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,4.4k,15.3k,253,38,657
Tata Projects,Engineering & Construction | 5k-10k Employees | Public | 45 years old | Mumbai +235 more,4.3,"Job Security, Company Culture, Skill Development / Learning",,4.4k,19.3k,282,46,562
Home Credit Finance,Financial Services | 10k-50k Employees | 12 years old | Gurugram +114 more,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",,4.4k,11k,94,122,632
Oracle,Software Product | 50k-1 Lakh Employees | Public | 47 years old | Austin +47 more,3.8,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",4.4k,58.7k,524,230,640
eClerx,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Mumbai +17 more,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,4.3k,27.5k,311,76,588
Apollo Hospitals,Healthcare | 10k-50k Employees | Public | 41 years old | Chennai +185 more,4.1,"Job Security, Skill Development / Learning, Company Culture",,4.3k,14.9k,216,421,523
Ashok Leyland,Automobile | 5k-10k Employees | Public | 76 years old | Chennai +209 more,4.1,"Skill Development / Learning, Work Satisfaction, Company Culture",,4.2k,18.4k,159,2,676
Siemens,Industrial Automation | 5k-10k Employees | Public | 177 years old | Munich +127 more,4.2,"Job Security, Company Culture, Work Life Balance",,4.2k,30.1k,253,437,664
JLL,Real Estate | 10k-50k Employees | Forbes Global 2000 | 27 years old | Mumbai +70 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,4.2k,20.2k,213,20,573
Omega Healthcare,Healthcare | 10k-50k Employees | 21 years old | Florida +46 more,3.8,"Promotions / Appraisal, Salary & Benefits",,4.2k,20.1k,234,96,413
Megha Engineering & Infrastructures,Engineering & Construction | 5k-10k Employees | Conglomerate | 35 years old | Hyderabad/Secunderabad +294 more,4.1,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.1k,14.5k,298,20,561
Vivo,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 15 years old | Gurgaon/Gurugram +375 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,4.1k,13.7k,144,7,666
JustDial,Internet | 10k-50k Employees | Public | 28 years old | Mumbai +178 more,3.6,"Promotions / Appraisal, Work Satisfaction, Job Security",,4.1k,14.9k,230,107,384
First Source,BPO | 10k-50k Employees | Public | 23 years old | Mumbai +54 more,3.8,"Promotions / Appraisal, Salary & Benefits",,4.1k,20k,193,156,603
OPPO,Consumer Electronics & Appliances | 10k-50k Employees | Public | 20 years old | Dongguan +364 more,4.0,Skill Development / Learning,Promotions / Appraisal,4k,13.3k,171,12,648
Bajaj Allianz Life Insurance,Insurance | 10k-50k Employees | 23 years old | Pune +500 more,4.1,"Salary & Benefits, Work Life Balance, Job Security",,4k,15.2k,219,56,486
Hero MotoCorp,Automobile | 5k-10k Employees | Public | 40 years old | Gurgaon/Gurugram +313 more,4.2,"Work Life Balance, Company Culture, Job Security",,4k,14.3k,255,7,606
Mahindra & Mahindra Financial Services,NBFC | 10k-50k Employees | Public | 33 years old | Mumbai +633 more,4.3,"Job Security, Company Culture, Work Life Balance",,4k,11.1k,98,52,511
D Mart,Retail | 10k-50k Employees | Fortune India 500 | 24 years old | Mumbai +210 more,4.0,"Job Security, Company Culture",Promotions / Appraisal,3.9k,13.9k,256,92,484
Cyient,IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Hyderabad/Secunderabad +35 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",3.9k,25.9k,197,151,490
Coforge,IT Services & Consulting | 10k-50k Employees | Public | 20 years old | Noida +86 more,3.5,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,3.9k,36.6k,285,205,328
BigBasket,Internet | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +115 more,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,3.8k,15.3k,259,30,442
ICICI Lombard General Insurance Company,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +260 more,3.8,Job Security,Promotions / Appraisal,3.8k,18.3k,182,246,378
Indiamart Intermesh,Internet | 5k-10k Employees | 28 years old | Noida +138 more,3.6,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",,3.8k,17.9k,374,981,444
CGI Group,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 48 years old | Montreal +28 more,4.1,"Job Security, Work Life Balance, Company Culture",,3.8k,41.1k,265,253,427
Virtusa Consulting Services,IT Services & Consulting | 10k-50k Employees | 28 years old | Southborough +37 more,3.8,Promotions / Appraisal,,3.8k,50.4k,320,122,345
Equitas Small Finance Bank,Banking | 10k-50k Employees | Fortune India 500 | 17 years old | Chennai +366 more,4.4,"Job Security, Company Culture, Work Life Balance",,3.7k,11.6k,124,24,403
TVS Motor,Automobile | 5k-10k Employees | Public | 45 years old | Chennai +276 more,4.1,"Skill Development / Learning, Salary & Benefits, Company Culture",,3.7k,13.9k,204,19,542
GlobalLogic,IT Services & Consulting | 10k-50k Employees | 24 years old | San Jose +32 more,3.7,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.6k,31.9k,323,85,554
Manappuram Finance,NBFC | 10k-50k Employees | Public | 75 years old | Thrissur/Trichur +495 more,4.0,"Skill Development / Learning, Promotions / Appraisal",,3.6k,7.6k,106,8,266
UST,IT Services & Consulting | 10k-50k Employees | 23 years old | Aliso Viejo +36 more,3.9,"Work Life Balance, Company Culture",Promotions / Appraisal,3.6k,35.7k,283,91,455
Hewlett-Packard Enterprise,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 9 years old | Houston +90 more,4.3,"Company Culture, Work Life Balance, Job Security",,3.6k,31.5k,143,37,630
SBI Cards & Payment Services,Financial Services | 1k-5k Employees | 26 years old | Gurgaon/Gurugram +339 more,3.8,"Promotions / Appraisal, Work Satisfaction",,3.6k,15.3k,172,134,349
Nagarro,IT Services & Consulting | 10k-50k Employees | 28 years old | Munich +39 more,4.1,"Company Culture, Work Life Balance, Salary & Benefits",,3.6k,25k,446,69,1.2k
Atos Syntel,IT Services & Consulting | 5k-10k Employees | 44 years old | Troy +23 more,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,3.6k,35.3k,185,44,548
Bosch Global Software Technologies,IT Services & Consulting | 10k-50k Employees | 27 years old | Gerlingen +30 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.6k,34.9k,214,8,721
IQVIA,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 42 years old | Durham +41 more,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3.6k,26.7k,290,47,553
Ekart Logistics,Logistics | 1k-5k Employees | 15 years old | San Francisco +566 more,4.1,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,3.6k,8.6k,205,--,365
Cholamandalam Investment & Finance,NBFC | 10k-50k Employees | Fortune India 500 | 46 years old | Chennai +630 more,4.1,"Salary & Benefits, Job Security, Skill Development / Learning",,3.5k,9.9k,111,17,315
Bosch,Auto Components | 5k-10k Employees | Public | 138 years old | Gerlingen +100 more,4.3,"Company Culture, Work Life Balance, Skill Development / Learning",,3.5k,20.6k,221,10,631
Reliance Communications,Telecom | 201-500 Employees | Public | 22 years old | Navi Mumbai +424 more,4.0,Skill Development / Learning,Promotions / Appraisal,3.5k,12.5k,69,2,376
SMFG India Credit,NBFC | 10k-50k Employees | 17 years old | Mumbai +483 more,4.1,"Salary & Benefits, Job Security, Skill Development / Learning",,3.5k,10.4k,98,47,349
BNY Mellon,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 20 years old | New York City +15 more,4.1,"Company Culture, Work Life Balance, Job Security",,3.5k,28.5k,210,343,554
Schneider Electric,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 25 years old | Paris +116 more,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",,3.5k,20.8k,215,22,485
L&T Technology Services,IT Services & Consulting | 10k-50k Employees | Public | 12 years old | Vadodara/Baroda +48 more,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,3.5k,32.2k,281,--,460
Hyundai Motor,Automobile | 10k-50k Employees | Fortune India 500 | 57 years old | Seoul +263 more,4.4,"Job Security, Salary & Benefits, Skill Development / Learning",,3.4k,13.1k,183,2,568
Amdocs,Software Product | 10k-50k Employees | Forbes Global 2000 | 42 years old | Chesterfield +15 more,4.0,"Company Culture, Job Security, Salary & Benefits",,3.4k,35.3k,345,4,684
Oyo Rooms,Hospitality | 1k-5k Employees | Indian Unicorn | 11 years old | Gurgaon +117 more,3.4,"Job Security, Promotions / Appraisal, Work Satisfaction",,3.4k,25.2k,164,186,393
CBRE,Real Estate | 10k-50k Employees | Forbes Global 2000 | 118 years old | Los Angeles +75 more,4.3,"Skill Development / Learning, Company Culture, Job Security",,3.4k,15.8k,165,135,482
State Bank of India,Banking | 1 Lakh+ Employees | Fortune India 500 | 218 years old | Mumbai +482 more,3.8,Job Security,"Work Life Balance, Company Culture, Work Satisfaction",3.4k,10.3k,166,187,407
JBM Group,Auto Components | 1k-5k Employees | Public | 41 years old | Gurgaon/Gurugram +87 more,4.0,"Job Security, Skill Development / Learning",,3.3k,13.1k,185,1,393
Swiggy,Internet | 5k-10k Employees | Indian Unicorn | 10 years old | Bangalore +181 more,3.9,Salary & Benefits,"Job Security, Promotions / Appraisal",3.3k,19.2k,268,364,363
BT Group,Telecom | 10k-50k Employees | Forbes Global 2000 | 178 years old | London +18 more,4.1,"Job Security, Work Life Balance, Company Culture",,3.3k,10.9k,99,19,313
Ecom Express,Logistics | 10k-50k Employees | 12 years old | Gurgaon +618 more,4.1,"Skill Development / Learning, Work Life Balance, Company Culture",,3.3k,8.5k,143,67,335
SBI Life Insurance Company,Insurance | 10k-50k Employees | 23 years old | Mumbai +520 more,3.9,Job Security,Promotions / Appraisal,3.3k,10.9k,158,10,334
Dell,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 40 years old | Round Rock +100 more,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",,3.2k,27.7k,241,64,565
Nagarjuna Construction Company,Engineering & Construction | 5k-10k Employees | Public | 26 years old | Hyderabad/Secunderabad +225 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,3.2k,10.3k,208,1,417
Bajaj Auto,Automobile | 5k-10k Employees | Public | 79 years old | Pune +250 more,3.9,Promotions / Appraisal,,3.2k,13.1k,192,12,561
Optum,Healthcare | 10k-50k Employees | 47 years old | Prairie +27 more,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.2k,25.3k,272,21,568
Future Group,Retail | 10k-50k Employees | Conglomerate | 11 years old | Mumbai +202 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,3.2k,11.6k,65,16,421
KEC International,Engineering & Construction | 5k-10k Employees | Public | 79 years old | Mumbai +266 more,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,3.2k,11k,208,10,452
